table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2014,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"313,401",100.0,"153,595",100.0,"159,806",100.0,
   .Under 5 years,"19,865",6.3,"10,154",6.6,"9,711",6.1,
   .5 to 9 years,"20,522",6.5,"10,483",6.8,"10,039",6.3,
   .10 to 14 years,"20,642",6.6,"10,545",6.9,"10,097",6.3,
   .15 to 19 years,"20,807",6.6,"10,585",6.9,"10,221",6.4,
   .20 to 24 years,"22,278",7.1,"11,243",7.3,"11,035",6.9,
   .25 to 29 years,"21,474",6.9,"10,822",7.0,"10,653",6.7,
   .30 to 34 years,"20,974",6.7,"10,377",6.8,"10,598",6.6,
   .35 to 39 years,"19,407",6.2,"9,555",6.2,"9,852",6.2,
   .40 to 44 years,"20,382",6.5,"10,037",6.5,"10,345",6.5,
   .45 to 49 years,"20,668",6.6,"10,148",6.6,"10,520",6.6,
   .50 to 54 years,"22,355",7.1,"10,908",7.1,"11,447",7.2,
   .55 to 59 years,"21,109",6.7,"10,193",6.6,"10,916",6.8,
   .60 to 64 years,"18,440",5.9,"8,812",5.7,"9,627",6.0,
   .65 to 69 years,"14,986",4.8,"7,093",4.6,"7,893",4.9,
   .70 to 74 years,"10,805",3.4,"4,980",3.2,"5,825",3.6,
   .75 to 79 years,"7,804",2.5,"3,374",2.2,"4,429",2.8,
   .80 to 84 years,"5,627",1.8,"2,383",1.6,"3,244",2.0,
   .85 years and over,"5,255",1.7,"1,901",1.2,"3,354",2.1,
, , , , , , ,
   .Under 15 years,"61,029",19.5,"31,182",20.3,"29,847",18.7,
   .15 to 17 years,"12,924",4.1,"6,532",4.3,"6,392",4.0,
   .18 to 20 years,"12,249",3.9,"6,222",4.1,"6,027",3.8,
   .21 to 44 years,"100,150",32.0,"49,866",32.5,"50,284",31.5,
   .45 to 64 years,"82,572",26.3,"40,062",26.1,"42,511",26.6,
   .65 years and over,"44,477",14.2,"19,731",12.8,"24,745",15.5,
,,,,,,,
Median age,37.6,(X),36.4,(X),38.8,(X),
Footnotes:,,,,,,,
,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
Note: Details may not sum to totals because of rounding.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2014.",,,,,,,
Internet release date: August 2017,,,,,,,
,,,,,,,
"The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were selected to receive the improved set of health insurance coverage items. The improved income questions were implemented using a split panel design.  Approximately 68,000 addresses were selected to receive a set of income questions similar to those used in the 2013 CPS ASEC. The remaining 30,000 addresses were selected to receive the redesigned income questions. The source of data for this table is the CPS ASEC sample of 98,000 addresses. ",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
