table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2019,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"324,356",100.0,"159,028",100.0,"165,328",100.0,
   .Under 5 years,"19,736",6.1,"10,094",6.3,"9,642",5.8,
   .5 to 9 years,"20,212",6.2,"10,328",6.5,"9,884",6.0,
   .10 to 14 years,"20,827",6.4,"10,650",6.7,"10,177",6.2,
   .15 to 19 years,"20,849",6.4,"10,545",6.6,"10,304",6.2,
   .20 to 24 years,"21,254",6.6,"10,716",6.7,"10,538",6.4,
   .25 to 29 years,"23,277",7.2,"11,792",7.4,"11,485",6.9,
   .30 to 34 years,"21,932",6.8,"10,935",6.9,"10,997",6.7,
   .35 to 39 years,"21,443",6.6,"10,629",6.7,"10,814",6.5,
   .40 to 44 years,"19,584",6.0,"9,628",6.1,"9,956",6.0,
   .45 to 49 years,"20,345",6.3,"9,993",6.3,"10,351",6.3,
   .50 to 54 years,"20,355",6.3,"9,930",6.2,"10,425",6.3,
   .55 to 59 years,"21,163",6.5,"10,046",6.3,"11,117",6.7,
   .60 to 64 years,"20,592",6.3,"9,819",6.2,"10,773",6.5,
   .65 to 69 years,"17,356",5.4,"8,198",5.2,"9,158",5.5,
   .70 to 74 years,"14,131",4.4,"6,691",4.2,"7,440",4.5,
   .75 to 79 years,"9,357",2.9,"4,233",2.7,"5,124",3.1,
   .80 to 84 years,"6,050",1.9,"2,519",1.6,"3,532",2.1,
   .85 years and over,"5,893",1.8,"2,282",1.4,"3,611",2.2,
,        ,        ,        ,        ,        ,        ,
   .Under 15 years,"60,774",18.7,"31,072",19.5,"29,703",18.0,
   .15 to 17 years,"13,018",4.0,"6,656",4.2,"6,363",3.8,
   .18 to 20 years,"11,851",3.7,"5,931",3.7,"5,920",3.6,
   .21 to 44 years,"103,469",31.9,"51,658",32.5,"51,811",31.3,
   .45 to 64 years,"82,455",25.4,"39,789",25.0,"42,666",25.8,
   .65 years and over,"52,788",16.3,"23,923",15.0,"28,865",17.5,
,,,,,,,
Median age,38.3,(X)      ,37.1,(X)      ,39.5,(X)      ,
Footnotes:,,,,,,,
,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
Note: Details may not sum to totals because of rounding.,,,,,,,
,,,,,,,
The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release. CBDRB-FY20-027.,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2019.",,,,,,,
Internet release date: April 2020,,,,,,,
