table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2011,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"306,110",100.0,"150,643",100.0,"155,466",100.0,
   .Under 5 years,"21,265",6.9,"10,869",7.2,"10,396",6.7,
   .5 to 9 years,"20,870",6.8,"10,667",7.1,"10,203",6.6,
   .10 to 14 years,"20,020",6.5,"10,237",6.8,"9,783",6.3,
   .15 to 19 years,"20,886",6.8,"10,691",7.1,"10,196",6.6,
   .20 to 24 years,"21,525",7.0,"10,960",7.3,"10,565",6.8,
   .25 to 29 years,"21,382",7.0,"10,917",7.2,"10,464",6.7,
   .30 to 34 years,"20,202",6.6,"10,067",6.7,"10,135",6.5,
   .35 to 39 years,"19,255",6.3,"9,542",6.3,"9,713",6.2,
   .40 to 44 years,"20,587",6.7,"10,172",6.8,"10,415",6.7,
   .45 to 49 years,"21,989",7.2,"10,800",7.2,"11,189",7.2,
   .50 to 54 years,"21,965",7.2,"10,695",7.1,"11,270",7.2,
   .55 to 59 years,"19,554",6.4,"9,499",6.3,"10,055",6.5,
   .60 to 64 years,"17,430",5.7,"8,447",5.6,"8,983",5.8,
   .65 to 69 years,"12,160",4.0,"5,600",3.7,"6,561",4.2,
   .70 to 74 years,"9,254",3.0,"4,242",2.8,"5,012",3.2,
   .75 to 79 years,"7,088",2.3,"3,065",2.0,"4,023",2.6,
   .80 to 84 years,"5,719",1.9,"2,370",1.6,"3,349",2.2,
   .85 years and over,"4,957",1.6,"1,804",1.2,"3,153",2.0,
, , , , , , ,
   .Under 15 years,"62,155",20.3,"31,773",21.1,"30,382",19.5,
   .15 to 17 years,"12,761",4.2,"6,570",4.4,"6,191",4.0,
   .18 to 20 years,"12,515",4.1,"6,377",4.2,"6,138",3.9,
   .21 to 44 years,"98,562",32.2,"49,402",32.8,"49,159",31.6,
   .45 to 64 years,"80,939",26.4,"39,441",26.2,"41,498",26.7,
   .65 years and over,"39,179",12.8,"17,081",11.3,"22,098",14.2,
,,,,,,,
Median age,36.8,(X),35.5,(X),38.1,(X),
Footnotes:,,,,,,,
(X) Not applicable,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2011.",,,,,,,
Internet release date: November 2012,,,,,,,
