table with row headers in column A and column headers in rows 5 and 6. Leading dots indicate subparts.,,,,,,,
Table 1. Population by Age and Sex: 2016,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,
,,,,,,,
Age,Both sexes,,Male,,Female,,
,Number,Percent,Number,Percent,Number,Percent,
All ages,"318,868",100.0,"156,205",100.0,"162,664",100.0,
   .Under 5 years,"19,923",6.2,"10,186",6.5,"9,737",6.0,
   .5 to 9 years,"20,469",6.4,"10,449",6.7,"10,020",6.2,
   .10 to 14 years,"20,573",6.5,"10,478",6.7,"10,094",6.2,
   .15 to 19 years,"20,915",6.6,"10,630",6.8,"10,285",6.3,
   .20 to 24 years,"21,973",6.9,"11,089",7.1,"10,884",6.7,
   .25 to 29 years,"22,434",7.0,"11,287",7.2,"11,146",6.9,
   .30 to 34 years,"21,329",6.7,"10,558",6.8,"10,771",6.6,
   .35 to 39 years,"20,387",6.4,"10,056",6.4,"10,331",6.4,
   .40 to 44 years,"19,618",6.2,"9,644",6.2,"9,974",6.1,
   .45 to 49 years,"20,679",6.5,"10,127",6.5,"10,552",6.5,
   .50 to 54 years,"21,887",6.9,"10,712",6.9,"11,174",6.9,
   .55 to 59 years,"21,835",6.8,"10,626",6.8,"11,209",6.9,
   .60 to 64 years,"19,300",6.1,"9,153",5.9,"10,148",6.2,
   .65 to 69 years,"16,517",5.2,"7,775",5.0,"8,742",5.4,
   .70 to 74 years,"11,425",3.6,"5,186",3.3,"6,239",3.8,
   .75 to 79 years,"8,421",2.6,"3,854",2.5,"4,567",2.8,
   .80 to 84 years,"5,637",1.8,"2,400",1.5,"3,237",2.0,
   .85 years and over,"5,547",1.7,"1,995",1.3,"3,552",2.2,
,        ,        ,        ,        ,        ,        ,
   .Under 15 years,"60,965",19.1,"31,114",19.9,"29,851",18.4,
   .15 to 17 years,"13,097",4.1,"6,624",4.2,"6,473",4.0,
   .18 to 20 years,"12,354",3.9,"6,368",4.1,"5,985",3.7,
   .21 to 44 years,"101,205",31.7,"50,272",32.2,"50,934",31.3,
   .45 to 64 years,"83,701",26.2,"40,618",26.0,"43,083",26.5,
   .65 years and over,"47,547",14.9,"21,209",13.6,"26,337",16.2,
,,,,,,,
Median age,37.9,(X)      ,36.7,(X)      ,39.1,(X)      ,
Footnotes:,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,
,,,,,,,
Note: Details may not sum to totals because of rounding.,,,,,,,
,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2016.",,,,,,,
,,,,,,,
Internet release date:  August 2018,,,,,,,
